State,Overall_Rank
Massachusetts,1
Connecticut,2
Maine,3
New York ,4
New Jersey,5
District of Columbia,6
Vermont,7
New Hampshire,8
Hawaii ,9
Pennsylvania,10
Michigan ,11
Virginia,12
Wisconsin ,13
Maryland ,14
Illinois ,15
Rhode Island ,16
California ,17
Delaware ,18
Kentucky ,19
Ohio ,20
Florida ,21
Kansas ,22
Minnesota,23
Indiana,24
Iowa,25
Georgia,26
Utah,27
South Dakota ,28
North Carolina,29
South Carolina,30
Arkansas,31
Nebraska,32
Louisiana,33
Mississippi ,34
New Mexico,35
Texas,36
West Virginia,37
Oklahoma,38
Alabama,39
Wyoming,40
Washington,41
Tennessee,42
North Dakota,43
Missouri,44
Idaho,45
Colorado,46
Oregon,47
Alaska,48
Montana,49
Arizona,50
Nevada,51